0.8441580319	0.0000396783	5999
0.2378058124	0.0003876719	269
0.9923665624	0.0005488812	5936
0.2392981265	0.0005568872	5169
0.1758722976	0.0005898892	5513
0.2713486997	0.0007470413	2560
0.3806106123	0.0007810641	1051
0.8723558685	0.0008737277	1646
0.3542111773	0.0011024147	2010
0.9933682158	0.0012307865	8148
0.2378508853	0.0014098696	2758
0.9937257278	0.0014387082	5224
0.5607604420	0.0015861300	7392
0.3635166821	0.0016180541	1229
0.8484425461	0.0016922973	9242
0.4447482581	0.0019107761	1116
0.3107250506	0.0019256287	3009
0.7729495439	0.0020929400	9014
0.6459480436	0.0021642406	1111
0.7235536020	0.0021712339	6708
0.8979115526	0.0025908081	7391
0.2045749262	0.0026630583	7179
0.8043683860	0.0027159301	6548
0.4815781144	0.0028773796	6781
0.7645157486	0.0031301709	3989
0.7656104373	0.0031344024	4683
0.5277966712	0.0031513102	3124
0.0354043388	0.0031516597	2438
0.6565173585	0.0031748193	7451
0.8603523254	0.0035086728	8112
0.7894179416	0.0035229274	8908
0.6632952031	0.0036718332	4981
0.3782199782	0.0037329016	6470
0.1033704778	0.0039718654	6070
0.6037389793	0.0043749318	5458
0.9551720498	0.0043920560	9158
0.5858291449	0.0044329176	9052
0.1649112131	0.0044488241	9885
0.8001395035	0.0044716040	7298
0.6856105822	0.0046950044	3200
0.3832430034	0.0047162332	8151
0.2847629299	0.0047964218	7327
0.8620083226	0.0050632594	2471
0.6953956803	0.0051281716	2766
0.1365392102	0.0051314110	4178
0.7505289171	0.0051675441	4102
0.0582186326	0.0052015960	3225
0.5895627678	0.0053586301	7973
0.5030173830	0.0054174351	5584
0.8353052325	0.0054963251	6443
0.2538110616	0.0055075236	419
0.1896574325	0.0057545835	8824
0.3667167754	0.0057687058	7082
0.3574324106	0.0061893807	4151
0.9546107094	0.0062143920	111
0.6302180993	0.0062798442	910
0.5983353986	0.0068040312	2597
0.3126055454	0.0068505699	358
0.2265151845	0.0069462612	412
0.6781380240	0.0070884412	9308
0.5040406492	0.0072267525	6990
0.2880160572	0.0072417626	5011
0.8164261704	0.0072688723	4946
0.4255830368	0.0073085868	2938
0.8627243280	0.0073125523	5096
0.1465106724	0.0073554371	9174
0.4157399490	0.0074195348	1936
0.0493376394	0.0074669555	2447
0.1318216597	0.0076018101	3554
0.1172782063	0.0076997539	3659
0.5702880710	0.0077357904	8231
0.0800159019	0.0078611057	3122
0.0422678977	0.0080501746	9819
0.9308666822	0.0081735788	7565
0.6228256109	0.0082178288	1337
0.2152494656	0.0082904039	4666
0.7444266116	0.0084029958	3432
0.9335572447	0.0084994972	5325
0.6337248393	0.0086103473	165
0.3259040786	0.0086225082	2709
0.9831027912	0.0086447831	3003
0.4134853165	0.0087566057	1622
0.1589143042	0.0087954146	8961
0.3296087797	0.0088438491	4730
0.4212915524	0.0090970548	6425
0.4043532558	0.0091422607	5945
0.5744518326	0.0091886162	5056
0.1318599109	0.0091998581	6720
0.0486904719	0.0092699647	7040
0.5931372578	0.0092760375	2562
0.2705669042	0.0092789218	3468
0.4581238495	0.0092891080	2720
0.9051940173	0.0092900697	9099
0.6677187106	0.0092990319	7598
0.8921059577	0.0093038528	5355
0.5909687431	0.0096225001	7770
0.6362444176	0.0096581957	913
0.8367401425	0.0096751635	8849
0.8918573675	0.0098644421	8258
0.3237701555	0.0098938881	9356
0.2802219691	0.0099060013	3795
0.4153359274	0.0099445346	4995
0.2488197791	0.0100351351	2311
0.8211990295	0.0101835547	3361
0.7305910968	0.0101924647	4129
0.2162303691	0.0102734228	5751
0.0784886709	0.0104344281	4043
0.9602134450	0.0106209426	6137
0.6379171959	0.0106973462	7728
0.4539865358	0.0107182571	3050
0.9604335335	0.0107624196	7624
0.0062143920	0.0108268911	8787
0.9649302223	0.0108352406	6158
0.2568240381	0.0110218750	4939
0.4799412710	0.0110629688	7319
0.1227471668	0.0111455289	9237
0.2089243553	0.0112204224	3991
0.8599570071	0.0115965376	287
0.7592320328	0.0117613806	2004
0.0457492226	0.0117776394	2699
0.4633253205	0.0119577957	2869
0.6578019253	0.0119629442	2370
0.1871085690	0.0120922216	6009
0.3893043400	0.0123718207	7344
0.1282117445	0.0125030076	5922
0.9552228314	0.0125464219	2308
0.6110719308	0.0126465981	9909
0.4360572014	0.0127764208	675
0.1363110765	0.0129298286	9317
0.9393895163	0.0130707097	7976
0.4880909010	0.0131080544	5293
0.7732663691	0.0131814708	7857
0.8064491991	0.0131820304	7831
0.3475766940	0.0133714817	6553
